2025-09-22 13:56:36,347 [INFO] - --- Starting New Training Run with GPU ---
2025-09-22 13:56:36,347 [INFO] - Starting data loading and preparation.
Map: 100%
 4919/4919 [00:00<00:00, 23645.07 examples/s]
2025-09-22 13:56:37,191 [INFO] - Data prepared. Samples: 8854 train, 984 test.
2025-09-22 13:56:37,191 [INFO] - Starting tokenization.
Map: 100%
 8854/8854 [00:33<00:00, 266.26 examples/s]
c:\Users\admin\anaconda3\envs\news_summarizer\lib\site-packages\transformers\tokenization_utils_base.py:3946: UserWarning: `as_target_tokenizer` is deprecated and will be removed in v5 of Transformers. You can tokenize your labels by using the argument `text_target` of the regular `__call__` method (either in the same call as your input texts if you use the same keyword arguments, or in a separate call.
  warnings.warn(
Map: 100%
 984/984 [00:03<00:00, 269.90 examples/s]
2025-09-22 13:57:16,484 [INFO] - Tokenization complete.
2025-09-22 13:57:16,484 [INFO] - Initializing Trainer.
c:\Users\admin\anaconda3\envs\news_summarizer\lib\site-packages\transformers\training_args.py:1474: FutureWarning: `evaluation_strategy` is deprecated and will be removed in version 4.46 of 🤗 Transformers. Use `eval_strategy` instead
  warnings.warn(
2025-09-22 13:57:27,517 [INFO] - Starting model training on GPU...
100%
 6642/6642 [4:13:11<00:00,  1.14s/it]
{'loss': 18.8898, 'grad_norm': 25843.544921875, 'learning_rate': 5e-06, 'epoch': 0.02}
{'loss': 17.3691, 'grad_norm': 24710.8671875, 'learning_rate': 1e-05, 'epoch': 0.05}
{'loss': 15.1896, 'grad_norm': 1253.855712890625, 'learning_rate': 1.5e-05, 'epoch': 0.07}
{'loss': 11.4705, 'grad_norm': 1275.7470703125, 'learning_rate': 2e-05, 'epoch': 0.09}
{'loss': 7.257, 'grad_norm': 19.44481086730957, 'learning_rate': 2.5e-05, 'epoch': 0.11}
{'loss': 4.3326, 'grad_norm': 11.529706954956055, 'learning_rate': 3e-05, 'epoch': 0.14}
{'loss': 3.6727, 'grad_norm': 3.133930206298828, 'learning_rate': 3.5e-05, 'epoch': 0.16}
{'loss': 3.3826, 'grad_norm': 3.2587127685546875, 'learning_rate': 4e-05, 'epoch': 0.18}
{'loss': 3.4258, 'grad_norm': 2.94587779045105, 'learning_rate': 4.5e-05, 'epoch': 0.2}
{'loss': 3.2653, 'grad_norm': 2.916131019592285, 'learning_rate': 5e-05, 'epoch': 0.23}
{'loss': 3.1574, 'grad_norm': 2.276667833328247, 'learning_rate': 4.959296646043634e-05, 'epoch': 0.25}
{'loss': 3.1425, 'grad_norm': 3.2969565391540527, 'learning_rate': 4.9185932920872686e-05, 'epoch': 0.27}
{'loss': 3.0699, 'grad_norm': 2.586760997772217, 'learning_rate': 4.8778899381309024e-05, 'epoch': 0.29}
{'loss': 3.0012, 'grad_norm': 2.9604198932647705, 'learning_rate': 4.837186584174536e-05, 'epoch': 0.32}
{'loss': 2.9563, 'grad_norm': 2.398463487625122, 'learning_rate': 4.79648323021817e-05, 'epoch': 0.34}
{'loss': 2.9003, 'grad_norm': 2.998619794845581, 'learning_rate': 4.7557798762618045e-05, 'epoch': 0.36}
{'loss': 2.909, 'grad_norm': 2.534437894821167, 'learning_rate': 4.7150765223054384e-05, 'epoch': 0.38}
{'loss': 2.96, 'grad_norm': 2.140286445617676, 'learning_rate': 4.674373168349072e-05, 'epoch': 0.41}
{'loss': 2.8684, 'grad_norm': 2.402892589569092, 'learning_rate': 4.633669814392706e-05, 'epoch': 0.43}
{'loss': 2.877, 'grad_norm': 2.3655755519866943, 'learning_rate': 4.5929664604363405e-05, 'epoch': 0.45}
{'loss': 2.7866, 'grad_norm': 3.0120809078216553, 'learning_rate': 4.552263106479974e-05, 'epoch': 0.47}
{'loss': 2.799, 'grad_norm': 2.3288731575012207, 'learning_rate': 4.511559752523608e-05, 'epoch': 0.5}
{'loss': 2.761, 'grad_norm': 2.0763607025146484, 'learning_rate': 4.470856398567242e-05, 'epoch': 0.52}
{'loss': 2.787, 'grad_norm': 2.4499988555908203, 'learning_rate': 4.4301530446108765e-05, 'epoch': 0.54}
{'loss': 2.7463, 'grad_norm': 2.4600257873535156, 'learning_rate': 4.38944969065451e-05, 'epoch': 0.56}
{'loss': 2.7063, 'grad_norm': 2.149730682373047, 'learning_rate': 4.348746336698144e-05, 'epoch': 0.59}
{'loss': 2.7094, 'grad_norm': 2.884317636489868, 'learning_rate': 4.308042982741778e-05, 'epoch': 0.61}
{'loss': 2.707, 'grad_norm': 2.2151288986206055, 'learning_rate': 4.2673396287854124e-05, 'epoch': 0.63}
{'loss': 2.6963, 'grad_norm': 2.1696739196777344, 'learning_rate': 4.226636274829046e-05, 'epoch': 0.65}
{'loss': 2.7001, 'grad_norm': 1.9839057922363281, 'learning_rate': 4.18593292087268e-05, 'epoch': 0.68}
{'loss': 2.6753, 'grad_norm': 2.3683249950408936, 'learning_rate': 4.1452295669163146e-05, 'epoch': 0.7}
{'loss': 2.6208, 'grad_norm': 2.190981388092041, 'learning_rate': 4.1045262129599484e-05, 'epoch': 0.72}
{'loss': 2.6683, 'grad_norm': 2.2084054946899414, 'learning_rate': 4.063822859003582e-05, 'epoch': 0.75}
{'loss': 2.6425, 'grad_norm': 2.8109753131866455, 'learning_rate': 4.023119505047216e-05, 'epoch': 0.77}
{'loss': 2.6371, 'grad_norm': 2.0437192916870117, 'learning_rate': 3.9824161510908506e-05, 'epoch': 0.79}
{'loss': 2.61, 'grad_norm': 2.209165096282959, 'learning_rate': 3.9417127971344844e-05, 'epoch': 0.81}
{'loss': 2.6236, 'grad_norm': 2.6539177894592285, 'learning_rate': 3.901009443178118e-05, 'epoch': 0.84}
{'loss': 2.5873, 'grad_norm': 2.196930408477783, 'learning_rate': 3.860306089221752e-05, 'epoch': 0.86}
{'loss': 2.575, 'grad_norm': 2.296056032180786, 'learning_rate': 3.8196027352653865e-05, 'epoch': 0.88}
{'loss': 2.5951, 'grad_norm': 2.392451524734497, 'learning_rate': 3.7788993813090204e-05, 'epoch': 0.9}
{'loss': 2.5612, 'grad_norm': 2.19561505317688, 'learning_rate': 3.738196027352654e-05, 'epoch': 0.93}
{'loss': 2.5424, 'grad_norm': 2.6735122203826904, 'learning_rate': 3.697492673396288e-05, 'epoch': 0.95}
{'loss': 2.5664, 'grad_norm': 2.106947898864746, 'learning_rate': 3.6567893194399225e-05, 'epoch': 0.97}
{'loss': 2.5255, 'grad_norm': 2.2351150512695312, 'learning_rate': 3.616085965483556e-05, 'epoch': 0.99}
2025-09-22 15:23:25,258 [INFO] - Using default tokenizer.
{'eval_loss': 1.9671177864074707, 'eval_rouge1': 29.1541, 'eval_rouge2': 11.6179, 'eval_rougeL': 21.3435, 'eval_rougeLsum': 29.1382, 'eval_runtime': 1652.539, 'eval_samples_per_second': 0.595, 'eval_steps_per_second': 0.149, 'epoch': 1.0}
{'loss': 2.5857, 'grad_norm': 2.328514337539673, 'learning_rate': 3.57538261152719e-05, 'epoch': 1.02}
{'loss': 2.4735, 'grad_norm': 2.3959734439849854, 'learning_rate': 3.534679257570824e-05, 'epoch': 1.04}
{'loss': 2.5136, 'grad_norm': 2.202885866165161, 'learning_rate': 3.4939759036144585e-05, 'epoch': 1.06}
{'loss': 2.5112, 'grad_norm': 2.123568296432495, 'learning_rate': 3.453272549658092e-05, 'epoch': 1.08}
{'loss': 2.4621, 'grad_norm': 2.071408271789551, 'learning_rate': 3.412569195701726e-05, 'epoch': 1.11}
{'loss': 2.4829, 'grad_norm': 1.851739525794983, 'learning_rate': 3.37186584174536e-05, 'epoch': 1.13}
{'loss': 2.4779, 'grad_norm': 2.233159065246582, 'learning_rate': 3.331162487788994e-05, 'epoch': 1.15}
{'loss': 2.4767, 'grad_norm': 2.1406004428863525, 'learning_rate': 3.290459133832628e-05, 'epoch': 1.17}
{'loss': 2.4986, 'grad_norm': 2.0391101837158203, 'learning_rate': 3.249755779876262e-05, 'epoch': 1.2}
{'loss': 2.4718, 'grad_norm': 2.272228240966797, 'learning_rate': 3.209052425919896e-05, 'epoch': 1.22}
{'loss': 2.4791, 'grad_norm': 2.4773452281951904, 'learning_rate': 3.16834907196353e-05, 'epoch': 1.24}
{'loss': 2.4839, 'grad_norm': 2.3240935802459717, 'learning_rate': 3.1276457180071636e-05, 'epoch': 1.26}
{'loss': 2.4922, 'grad_norm': 2.343090295791626, 'learning_rate': 3.0869423640507974e-05, 'epoch': 1.29}
{'loss': 2.46, 'grad_norm': 2.3500118255615234, 'learning_rate': 3.0462390100944322e-05, 'epoch': 1.31}
{'loss': 2.4549, 'grad_norm': 2.4027912616729736, 'learning_rate': 3.005535656138066e-05, 'epoch': 1.33}
{'loss': 2.3833, 'grad_norm': 2.2222204208374023, 'learning_rate': 2.9648323021817e-05, 'epoch': 1.36}
{'loss': 2.4444, 'grad_norm': 2.89462947845459, 'learning_rate': 2.9241289482253337e-05, 'epoch': 1.38}
{'loss': 2.4434, 'grad_norm': 2.0932962894439697, 'learning_rate': 2.8834255942689682e-05, 'epoch': 1.4}
{'loss': 2.4231, 'grad_norm': 2.2439112663269043, 'learning_rate': 2.842722240312602e-05, 'epoch': 1.42}
{'loss': 2.413, 'grad_norm': 2.211310625076294, 'learning_rate': 2.802018886356236e-05, 'epoch': 1.45}
{'loss': 2.3843, 'grad_norm': 2.6021902561187744, 'learning_rate': 2.7613155323998697e-05, 'epoch': 1.47}
{'loss': 2.409, 'grad_norm': 2.6927690505981445, 'learning_rate': 2.7206121784435042e-05, 'epoch': 1.49}
{'loss': 2.4084, 'grad_norm': 2.357555866241455, 'learning_rate': 2.679908824487138e-05, 'epoch': 1.51}
{'loss': 2.381, 'grad_norm': 2.321312427520752, 'learning_rate': 2.6392054705307718e-05, 'epoch': 1.54}
